"KEY","EN","BG","ESP","PT"
"Accounting","Contabilidad","Contabilidade"
"as super stacked symbol","como símbolo super apilable","como símbolo super empilhado"
"%1 Free Spins","%1 Juegos Gratis","%1 Rodadas Grátis"
"%1 Free Spins All Wins With","%1 Juegos Gratis Todos los Premios Con","%1 Rodadas Grátis, Todos os Prêmios, Com"
"x%1, x%2 or x%3","x%2 o x%3""","x%1, x%2 or x%3"
"Are Multiplied x%1, x%2 or x%3","Son Multiplicados x%1, x%2 o x%3","São Multiplicados por x%1, x%2 ou x%3"
"with reels 1, 3 and 5 whole filled with wild symbols","con rodillos 1, 3 y 5 plenamente llenos con símbolos wild","com cilindros 1, 3 e 5 totalmente preenchidos com símbolos Wild"
"with reels 2 and 4 whole filled with wild symbols","con rodillos 2 y 4 plenamente llenos con símbolos wild","com cilindros 2 e 4 totalmente preenchidos com símbolos Wild"
"with reel 3 whole filled with wild symbols","con rodillo 3 plenamente lleno con símbolos wild","com cilindro 3 totalmente preenchido com símbolos Wild"
"x%1, x%2, x%3 or x%4","x%2","x%1, x%2, x%3 or x%4"
"Gamble Game %1","Juego de Apuesta %1","Jogo de Aposta %1"
"Player's Choice","Elección del Jugador","Escolha do Jogador"
"Card","Carta","Carta"
"Result","Resultado","Resultado"
"BLACK","NEGRO","PRETO"
"RED","ROJO","VERMELHO"
"WON","HA GANADO","GANHO"
"LOST","PERDIDO","PERDEU"
"%1 Level Won - %2","%1 Nivel Ganado- %2","Nível %1 Ganho - %2"
"No Win Game","Juego de no ganar","Jogo Sem Ganhador"
"Item selected","Elemento seleccionado","Item Selecionado"
"Item not selected","Elemento no seleccionado","Item não selecionado"
"%1 figures ",1%,"%1 figuras"
"%1 x ","%1 x","%1 x"
"%1 ",1%,1%
,,
"Bet","Apuesta","Aposta"
"Prize","Premio","Prêmio"
"Points Prize","Puntos Premios","Prêmio de Pontos"
"Reserve","Reserva","Reserva"
"Credits","Créditos","Créditos"
"Bank","Banco","Banco"
"Points","Puntos","Pontos"
,,
"Clubs","Tréboles","Paus"
"Diamonds","Diamantes","Ouros"
"Hearts","Corazones","Copas"
"Spades","Picas","Espadas"
,,
"Mini","Mini","Mini"
"Minor","Menor","Menor"
"Major","Mayor","Maior"
"Grand","Grandioso","Grande"
,,
"VAN protocol","Protocolo VAN","Protocolo VAN"
"Channel","Canal","Canal"
"NET1","NET1","NET1"
"NET2","NET2","NET2"
"COM1","COM1","COM1"
"COM2","COM2","COM2"
"Mode","Modo","Modo"
"Cash","Efectivo","Dinheiro"
"Cashless","Cashless","Sem Dinheiro"
,,
"CCTalk Coin Acceptor Settings","Ajustes de Admisor de Moneda CCTalk","Configurações do Aceitante de Moedas CCTalk"
"Device Name: %1","Nombre de Dispositivo: %1","Nome do Dispositivo: %1"
"Manufacturer: %1","Fabricante: %1","Fabricante: %1"
"Software Revision: %1","Revisión de Software: %1","Revisão de Software: %1"
"Product code: %1","Código de producto: %1","Código do Produto: %1"
"Serial Number: %1","Número de Serie: %1","Número de Série: %1"
"Database version: %1","Versión de base de datos: %1","Versão do banco de dados: %1"
"Coin Id: ","ID de Moneda:","ID da Moeda:"
"Number of accepted coins: %1","Número de monedas aceptadas: %1","Número de moedas aceitas: %1"
"Coin Value: ","Valor de Moneda:","Valor da Moeda:"
"Coin Route: %1","Ruta de Moneda: %1","Rota da Moeda: %1"
"Coin stuck","Atasco de moneda","Moeda presa"
,,
"CCTalk Hopper Settings","Ajustes de Tolva CCTalk","Configurações da Cesta CCTalk"
"Device Name: %1","Nombre de Dispositivo: %1","Nome do Dispositivo: %1"
"Manufacturer: %1","Fabricante: %1","Fabricante: %1"
"Equipment Category: %1","Categoría de Equipo: %1","Categoria de Equipamento: %1"
"Product Code: %1","Código de producto: %1","Código do Produto: %1"
"Build code: %1","Código de Construcción: %1","Código do Build: %1"
"Serial number: %1","Número de Serie: %1","Número de série: %1"
"ROM checksum: %1","ROM checksum: %1","Código de verificação do ROM: %1"
"Comms revision: %1","Revisión comms: %1","Revisão da comunicação: %1"
,,
"Cycle Accounting","Ciclo de Contabilidad","Contabilidade de Ciclo"
"Cycle (Start Date - End Date)","Ciclo (Fecha Inicio - Fecha Fin)","Ciclo (Data Inicial - Data Final)"
"Played","Jugado","Jogado"
"Collected","Recaudado","Coletado"
"RTP","RTP","RTP"
"Games","Juegos","Jogos"
"Current","Actual","Atual"
"Location","Ubicación","Local"
"No Location","No Hay Ubicación","Sem Local"
"Games","Juegos","Jogos"
"cr","cr","cr"
"Coin acceptor diagnostic","Diagnóstico de admisor de moneda","Diagnóstico do aceitante de moedas"
"Please insert coin","Por favor, inserte moneda","Favor inserir moeda"
"Supported coins","Monedas soportadas","Moedas com suporte"
"Last coin registered: ","Última moneda registrada:","Última moeda registrada:"
"Credits","Créditos","Créditos"
,,
"Set Physical Location","Establecer ubicación física","Definir Local Físico"
,,
"Languages","Idiomas","Idiomas"
"English","English","inglês"
"Български","Български","Български"
"Español","Español","español"
"No Limit","Sin límite","Sem Limite"
,,
"Get","Obtener","Obter"
"%1' To Cancel Calibration and Navigate Back","%1' para cancelar la calibración y navegar de nuevo","%1' para Cancelar a Calibração e Navegar de Volta"
"Clear","Limpiar","Limpar"
,,
"SAS Setup/Common","Ajuste SAS/Común","Configuração do SAS/Comum"
"SAS Setup/Channels","Ajuste SAS/Canales","Configuração do SAS/Canais"
"SAS Setup/Voucher Data","Ajuste SAS/Datos de Vale","Configuração do SAS/Dados de Cupom"
"SAS Setup/AFT","Ajuste SAS//AFT","Configuração do SAS/AFT"
,,
"SAS Game ID","ID del juego SAS","ID do Jogo SAS"
"Game Name","Nombre del juego","Nome do jogo"
"Game Variant","Variante del juego","Variante de Jogo"
"Denomination","Denominación","Denominação"
"Max Bet/Line","Máxima apuesta/línea","Aposta/Linha Máx."
,,
"Time: ","Hora:","Horário:"
"Game Version: %1","Versión del Juego: %1","Versão do Jogo: %1"
"Meter Values","Valores según Medidor","Valores do Medidor"
"Please restart the machine.","Favor reiniciar la máquina.","Favor reiniciar a máquina."
"Configuration updated!!! Restart is required for changing Show Statististics for / Fast Play !!!","¡¡¡Configuración actualizada!!! ¡¡¡Se requiere reiniciar para cambiar Mostrar Estadísticas para / Juego Rápido!!!","Configuração atualizada!!! É necessário reiniciar para alterar o Mostrar Estatísticas para / Jogo Rápido!!!"
"Configuration updated!!! Restart is required for changing Game active / Fast Play !!!","¡¡¡Configuración actualizada!!! ¡¡¡Se requiere reiniciar para cambiar Juego activo / Juego Rápido!!!","Configuração atualizada!!! É necessário reiniciar para alterar o Jogo Ativo / Jogo Rápido!!!"
"Configuration updated!!! Restart is required for changing Baccarat Type / Side Bets !!!","¡¡¡Configuración actualizada!!! ¡¡¡Se requiere reiniciar para cambiar Tipo de Bacará / Apuestas Secundarias!!!","Configuração atualizada!!! É necessário reiniciar para alterar o Tipo de Bacará / Apostas Paralelas!!!"
"Configuration updated!!! Restart is required for changing Fast Play !!!","Configuración actualizada !!! Se requiere reiniciar para cambiar el tipo de color / juego activo / tipo de protocolo.","Configuração atualizada!!! É necessário reiniciar para alterar o Jogo Rápido!!!"
"Configuration updated!!! Restart is required for changing Game active / Fast Play !!!","Configuración actualizada !!! Se requiere reiniciar para cambiar el tipo de color / juego activo / juego rapido.","Configuração atualizada!!! É necessário reiniciar para alterar o Jogo Ativo / Jogo Rápido!!!"
"Restart Now","Reiniciar Ahora","Reiniciar Agora"
"Configuration updated!!! Restart is required for changing the bet limits and settings!!!","Configuración actualizada !!! Se requiere reiniciar para cambiar los límites de apuesta y los ajustes.","Configuração atualizada!!! É necessário reiniciar para alterar os limites e configurações de apostas!!!"
"Configuration updated!!! Restart is required for changing the sidebet settings!!!","Configuración actualizada !!! Se requiere reiniciar para cambiar los secundarias apuestas y los ajustes.","Configuração atualizada!!! É necessário reiniciar para alterar as configurações de aposta paralela!!!"
,,
"Bill Validator","Validador de Billetes","Validador de Notas"
"Validation unsuccessful !!! Bill Validator Type is not Accepted","¡¡¡Validación fallida!!! No es Aceptado el Tipo de Validador de Billetes","Erro na validação!!! O Tipo de Validador de Nota não é Aceito"
"Other Devices","Otros Dispositivos","Outros Dispositivos"
"To Stacker","Al Apilador","Para Empilhador"
"To Payout","Al Pago","Para Pagamento"
"Auto detect","Autodetectar","Detecção automática"
"Detecting bill validator, please wait ...","Detectando validador de billete, favor esperar…","Detectando validador de notas, favor aguardar..."
"Choose Manual: ","Elegir Manual:","Escolha Manual:"
"Bill Validator Settings","Configuración de Validador de Billetes","Configurações do Validador de Notas"
" ""%1""","""%1""","""%1"""
" ""Channel %1 %2""","""Canal %1 %2""","""Canal %1 %2"""
" ""Ticket""","""Ticket""","""Bilhete"""
"Channel %1: %2 %3","Canal %1: %2 %3","Canal %1: %2 %3"
" ""No information from bill validator""","""No hay información del validador de billetes ""","""Nenhuma informação do validador de notas"""
" ""All channels are disabled""","""Todos los canales se encuentran desactivados""","""Todos os canais estão desabilitados"""
" ""Current state:""","""Estado actual:""","""Estado atual:"""
" ""Enabled channels:""","""Canales activados:""","""Canais ativados:"""
" ""Old states:""","""Estados antiguos:""","""Estados antigos:"""
" ""Different currency code! Selected - %1""","“¡Código de divisa distinto! Seleccionado - %1""","""Código de moeda diferente! Selecionado - %1"""
"Firmware version: ","Versión de Firmware:","Versão do firmware:"
"Serial number: ","Número de Serie:","Número de série:"
"ENABLE ALL CHANNELS","ACTIVAR TODOS LOS CANALES","ATIVAR TODOS OS CANAIS"
"DISABLE ALL CHANNELS","DESACTIVAR TODOS LOS CANALES","DESATIVAR TODOS OS CANAIS"
"Inapropriate state to set channels. (%1)","Estado inapropiado para ajustar canales. (%1)","Estado inadequado para definir canais. (%1)"
,,
"Id Card Scanner","Escáner de Tarjeta de Id","Digitalizador de Carteira de Identidade"
"Id Card Scanner Setup","Configuración de Escáner de Tarjeta de Id","Configuração do Digitalizador de Carteira de Identidade"
"Id Card Scanner Test","Test de Escáner de Tarjeta de Id","Teste do Digitalizador de Carteira de Identidade"
"Detecting Id Card Scanner, please wait ...","Detectando Escáner de Tarjeta de Id, favor esperar ...","Detectando Digitalizador de Carteira de Identidade, favor aguardar..."
"Use the Id Card Scanner to scan an ID.","Utilizar el Escáner de Tarjeta de Id para escanear una ID.","Use o Digitalizador de Carteira de Identidade para Digitalizar uma carteira de identidade."
"Raw String:","Raw String:","String Bruta:"
"Document Number:","Número de Documento:","Número do Documento:"
"Country Name:","Nombre del País:","Nome do País:"
"Holder Name:","Nombre del Titular:","Nome do Titular:"
"Date Of Birth:","Fecha de Nacimiento:","Data de Nascimento:"
"Expiration Date:","Fecha de Vencimiento:","Data de Validade:"
"Document Type:","Tipo de Documento:","Tipo de Documento:"
"Passport Booklet","Libreta de Pasaporte","Livreto de Passaporte"
"Official Travel Document","Documento Oficial de Viaje","Documento Oficial de Viagem"
"Machine Readable Visas type A","Visas tipo A Legibles por Máquina","Vistos Legíveis por Máquina tipo A"
"Machine Readable Visas type B","Visas tipo B Legibles por Máquina","Vistos Legíveis por Máquina tipo B"
"Unknown Type","Tipo Desconocido","Tipo Desconhecido"
,,
"Connecting...","Conectando...","Conectando..."
"Saving...","El Ahorro...","Salvando..."
"Rigel Settings","Configuración Rigel","Configurações de Rígel"
"Select Rigel Settings Page","Seleccionar Página de Configuración de Rigel","Selecione a Página de Configurações do Rígel"
,,
"Send time to wheel","Enviar tiempo a la rueda","Enviar horário para a roda"
" ""Store CF serial number""","Número de serie de la tienda CF","""Armazenar número de série do CF"""
" ""Open the dome""","Abre la cúpula","""Abrir a cúpula"""
"Close the dome","Cierra la cúpula","Fechar a cúpula"
" ""Start the wheel""","Arrancar la rueda","""Iniciar a roda"""
"Stop the wheel","Parar la rueda","Parar a roda"
"Swallow the ball","Tragar la pelota","Engolir a bola"
" ""Blow the ball""","Sopla la pelota","""Soprar a bola"""
" ""After""","""Después""","""Depois"""
" ""Bet and Chips Settings""","""Configuración de Apuesta y Fichas""","""Configurações de Apostas e Fichas"""
" ""Side Bet Settings""","""Configuración de Apuesta Secundaria""","""Configurações de Apostas Paralelas"""
" ""Chip one must be equal to min bet!""","“¡La Ficha uno debe ser igual a la apuesta mínima!""","""A ficha um deve ser igual à aposta mín.!"""
" ""Validation unsuccessful!!! Chip Value %1 must be less than Chip Value %2!""","“¡¡¡Validación fallida!!! ¡El Valor de las Fichas %1 debe ser menor del Valor de las Fichas %2!""","""Validação mal sucedida!!! O Valor da Ficha %1 deve ser menor que o Valor da Ficha %2!"""
" ""Validation unsuccessful!!! Value of %1 %2 cannot be %3 %4 or %5 %6!""","“¡¡¡Validación fallida!!! ¡El Valor de %1 %2 no puede ser %3 %4 o %5 %6!""","""Validação mal sucedida!!! O valor de %1 %2 não pode ser %3 %4 ou %5 %6!"""
" ""Validation unsuccessful!!! Value of %1 %2 cannot be odd number!""","“¡¡¡Validación fallida!!! ¡El Valor de %1 %2 no puede ser un número impar!""","""Validação mal sucedida!!! O valor de %1 %2 não pode ser um número ímpar!"""
" ""%1 bet in credits: ""","""%1 apuesta en créditos: ""","""Aposta %1 em créditos:"""
" ""Chip %1 Value in credits:""","""Ficha %1 Valor en créditos:""","""Valor da ficha %1 em créditos:"""
" ""Chip""","""Ficha""","""Ficha"""
,,
"Current","Corriente","Atual"
"No settings to export","No hay configuraciones para exportar","Nenhuma configuração para exportar"
"Filename missing","Falta nombre de archivo","Nome do arquivo ausente"
"File cannot be opened","El archivo no puede ser abierto","O arquivo não pode ser aberto"
"Different Product Version","Versión de Producto Distinta","Versão Diferente do Produto"
"Different Jurisdiction","Jurisdicción Distinta","Jurisdição Diferente"
"Different market file was imported on this machine","Un archivo de mercado distinto fue importado en esta máquina","Um arquivo de mercado diferente foi importado nesta máquina"
"Market ID mismatch in import file","ID de mercado no coincidente en archivo importado","ID de Mercado incompatível no arquivo importado"
"Series mismatch in import file","Serie no coincidente en archivo importado","Série incompatível no arquivo importado"
"Product mismatch in import file","Producto no coincidente en archivo importado","Produto incompatível no arquivo importado"
"Settings file is not intended for product %1","El archivo de configuración no está diseñado para el producto %1","Arquivo de configuração não destinado ao produto %1"
"Settings file is not intended for series %1","El archivo de configuración no está diseñado para la serie %1","Arquivo de configuração não destinado à série %1"
"Verification Data Not Found","No se Encontró Data de Verificación","Não Foram Encontrados os Dados de Verificação"
"Unexpected Verification Data Found","Inesperado No se Encontró Data de Verificación","Foram Encontrados Dados de Verificação Inesperados"
"Verification Data Value Not Found","No se Encontró Valor de Data de Verificación","Não Foram Encontrados os Valores dos Dados de Verificação"
"Unexpected Verification Data Value Found","Inesperado No se Encontró Valor de Data de Verificación","Foram Encontrados Valores de Dados de Verificação Inesperados"
"Verification Data Count Mismatch","Cuenta de Data de Verificación No Coincidente","Contagem Incompatível nos Dados de Verificação"
"Go to Newest","Más nuevo","Ir para o Mais Recente"
"Go to Oldest","Más antiguo","Ir para o Mais Antigo"
"Market ID Change","Cambio de Mercado","Alteração de ID do Mercado"
"Market ID:","Versión de Mercado","ID do Mercado:"
"Machine not intended for market %1","La Máquina no está diseñada para el mercado %1","Máquina não destinada ao mercado %1"
"Settings file has the same Market ID as the machine","El archivo de configuración tiene el mismo ID de Mercado que la máquina","O arquivo de configurações tem o mesmo ID de Mercado que a máquina"
" ""Market file not intended for this machine""","""El archivo de mercado no está diseñado para esta máquina ""","""Arquivo de mercado não destinado a esta máquina"""
"Invalid Games Settings Configuration","Parametrización Inválida de Configuración de Juegos","Definições Inválidas na Configuração de Jogos"
"%1 has been imported.","%1 ha sido importado.","%1 foi importado."
"File cannot be decrypted","El archivo no puede ser desencriptado","O arquivo não pôde ser descriptografado"
"File cannot be encrypted","El archivo no puede ser encriptado","O arquivo não pôde ser criptografado"
"Settings file not intended for this machine","El archivo sobre configuraciones no está diseñado para esta máquina","Arquivo de configurações não destinado a esta máquina"
"Settings file not compatible with this operation","El archivo sobre configuraciones no es compatible con esta operación","Arquivo de configurações não compatível com esta operação"
"Software Update","Actualización de Software","Atualização de Software"
"Terminal","Terminal","Terminal"
"Use gateway","Utilizar Puerta de Acceso","Usar gateway"
"JACKPOT_LIMIT","JACKPOT_LIMIT","JACKPOT_LIMIT"
"CELEBRATION_LOCK","CELEBRATION_LOCK","CELEBRATION_LOCK"
"UPPER_JACKPOT_LIMIT","UPPER_JACKPOT_LIMIT","UPPER_JACKPOT_LIMIT"
"JACKPOT_LOCK","JACKPOT_LOCK","JACKPOT_LOCK"
,,
"Zero Game %1%","Juego al Cero %1%","Jogo de Zero %1%"
"Big Series %1%","Vacinos del Cero %1%","Série Grande %1%"
"Orphelins %1%","Huerfanos %1%","Orphelins %1%"
"Small Series %1%","Tercios %1%","Série Pequena %1%"
" Zero %1%","Cero %1%","Zero %1%"
" Odd %1%","Impar %1%","Ímpar %1%"
" Even %1%","Incluso %1%","Par %1%"
" Red %1%","Rojo %1%","Vermelho %1%"
" Black %1%","Negro %1%","Preto %1%"
" 1st 12 %1%","1st 12 %1%","1º 12 %1%"
" 2nd 12 %1%","2do 12 %1%","2º 12 %1%"
" 3rd 12 %1%","3er 12 %1%","3º 12 %1%"
"1-18 %1%","1-18 %1%","1-18 %1%"
"19-36 %1%","19-36 %1%","19-36 %1%"
"MALFUNCION VOIDS ALL PAYS AND PLAYS","MALFUNCION VOIDS ALL PAYS AND PLAYS","ERROS INVALIDAM TODOS OS PAGAMENTOS E JOGOS"
,,
"High Cash Jackpot - 1","Jackpot de Gran Efectivo – 1","Jackpot em Dinheiro com Alto Valor - 1"
"Main Game Respin %1 of %2","Main Game Respin %1 of %2","Nova Rodada do Jogo Principal %1 de %2"
"Free Spin Respin %1 of %2","Free Spin Respin %1 of %2","Nova Rodada de Rodada Grátis %1 de %2"
,,
"Low 13, Exactly 13, High 13","Baja 13, Exacta 13, Alta 13","Baixo 13, Exatamente 13, Alto 13"
"21+3, Super7, Perfect Pair","21+3, Súper7, Par Perfecto","21+3, Super7, Par Perfeito"
"Sidebets type:","Tipo de apuestas secundarias:","Tipos de apostas paralelas:"
"Super7:","Súper7:","Super7:"
,,
"After Transformation","Después de la Transformación","Após Transformação"
"- After Transformation Win","- Después de la Transformación Ganancia","- Prêmio Após Transformação"
"After Transformation","Después de la Transformación","Após Transformação"
,,
"ERROR!!! NOT SUPPORTED VIEW","¡¡¡ERROR!!! VISTA NO SOPORTADA","ERRO!!! SEM SUPORTE PARA ESTA VISUALIZAÇÃO"
"Previous color","Color anterior","Cor Anterior"
"Next color","Siguiente color","Próxima Cor"
,,
"Touch Whole Reel To Respin:","Tocar el Rodillo Completo para Respin:","Toque no Cilindro Inteiro para Começar uma Nova Rodada:"
"Respin Buttons on Keyboard:","Botones de Respin en el Teclado:","Teclas de Nova Rodada no teclado:"
,,
"Detailed Accounting","Contabilidad Detallada","Contabilidade Detalhada"
"Detailed accounting","Contabilidad detallada","Contabilidade detalhada"
,,
"Player","Jugador","Jogador"
"Banker","Banquero","Banqueiro"
"Tie","Empate","Empate"
"Player pair","Par del Jugador","Par do jogador"
"Banker pair","Par de la Banca","Par do banqueiro"
"Any pair","Cualquier par","Qualquer par"
"Perfect pair","Par perfecto","Par perfeito"
"Fish 7","Pez 7","Peixe 7"
"Frog 8","Rana 8","Sapo 8"
,,
"Main bet","Apuesta Principal","Aposta principal"
"Insurance","Seguro","Seguro"
"Surrender","Rendirse","Desistir"
"Even money","Apuesta par","Dinheiro igual"
"Low13","Baja13","Baixo13"
"Exactly13","Exactamente13","Exatamente13"
"High13","Alta13","Alto13"
"21+3","21+3","21+3"
"Super7","Súper7","Super7"
"PerfectPair","ParPerfecto","ParPerfeito"
,,
"Baccarat Type:","Tipo de Bacará:","Tipo de Bacará:"
"Commission","Comisión","Comissão"
"No Commission","Sin Comisión","Sem Comissão"
"Side Bets:","Apuestas secundarias:","Apostas Paralelas:"
"All side bets","Todas apuestas secundarias","Todas as apostas paralelas"
"None","Ninguno","Nada"
"Side bets RTP %","Apuestas secundarias RTP %","RTP % das apostas paralelas"
,,
"Dragon","Dragón","Dragão"
"Tiger","Tigre","Tigre"
"Tie","Empate","Empate"
"Suited tie","Empate con Pinta","Empate de naipes"
"Same color","Mismo color","Mesma cor"
"Different color","Distinto color","Cor diferente"
"Dragon big","Dragón grande","Dragão grande"
"Tiger big","Tigre grande","Tigre grande"
"Dragon small","Dragón pequeño","Dragão pequeno"
"Tiger small","Tigre pequeño","Tigre pequeno"
"Dragon odd","Dragón impar","Dragão ímpar"
"Tiger odd","Tigre impar","Tigre ímpar"
"Dragon even","Dragón par","Dragão par"
"Tiger even","Tigre par","Tigre par"
"Dragon Club","Dragón Tréboles","Dragão de Paus"
"Tiger Club","Tigre Tréboles","Tigre de Paus"
"Dragon Diamond","Dragón Diamante","Dragão de Ouros"
"Tiger Diamond","Tigre Diamante","Tigre de Ouros"
"Dragon Heart","Dragón Corazones","Dragão de Copas"
"Tiger Heart","Tigre Corazones","Tigre de Copas"
"Dragon Spade","Dragón Espadas","Dragão de Espadas"
"Tiger Spade","Tigre Espadas","Tigre de Espadas"
,,
"*Reel %1 Respin. Winnings must contain symbol from Reel %1.","*Rodillo %1 Respin. Las ganancias deben contener símbolos del Rodillo %1.","*Nova Rodada no Cilindro %1. Os prêmios devem conter o símbolo do Cilindro %1."
"*Each WILD symbol on the screen which doesn't participate in payline winnings pays the total bet of the game.","*Cada símbolo WILD en la pantalla que no participe en las ganancias payline pagará la apuesta total del juego.","*Cada símbolo WILD na tela que não participar dos prêmios da linha de pagamento paga a aposta total do jogo."
"*Full screen with clovers symbols wins the amounts on all clovers symbols multiplied x4.","*La pantalla llena de símbolos de tréboles gana los montos que están sobre todos los tréboles multiplicados por x4.","*Uma tela cheia com símbolos de trevos ganha os valores de todos os símbolos de trevo multiplicads por x4."
"*k = 1 000x | M = 1 000 000x | B = 1 000 000 000x","*k = 1 000x | M = 1 000 000x | B = 1 000 000 000x","*k = 1.000x | M = 1.000.000x | B = 1.000.000.000x"
"Bonus Prize Feature Triggered","Activa Atracción de Recompensa Bonus","Modo de Prêmio Bônus Ativado"
"Extra wild multiplier","Multiplicador extra wild","Multiplicador Wild adicional"
"Buy Free Spins Triggered","Activa Comprar Free Spins","Compra de Rodadas Grátis Ativada"
"Respin Reset","Respin Reiniciado","Redefinir Nova Rodada"
"Maximum Award reached","Recompensa Máxima alcanzada","Prêmio Máximo alcançado"
"Base Bet","Apuesta Base","Aposta Base"
"Respin Bet","Apuesta Respin","Aposta de Nova Rodada"
"- %1 Prize Won","- %1 Premio Ganado","- %1 Prêmio Ganho"
"%1 Prize Won","%1 Permio Ganado","%1 Prêmio Ganho"
"Respin Max Bet in credits:","Apuesta Máxima Respin en créditos:","Aposta Máx. de Nova Rodada em créditos:"
,,
"%productLable Server IP:","%productoEtiqueta IP del Servidor:","IP do Servidor %productLable:"
"NTP Server IP:","IP del Servidor NTP:","IP do Servidor NTP:"
"Port:","Puerto:","Porta:"
"Keep Alive Time:","Tiempo de Mantener con Activado:","Tempo da Manutenção da Sessão:"
"Communication Check Time:","Hora de Chequeo de Comunicaciones:","Tempo de Verificação de Comunicação:"
"Status:","Estado:","Situação:"
"Continent:","Continente:","Continente:"
"City:","Ciudad:","Cidade:"
"Validation unsuccessful !!! Wrong %productLable Server IP Address","¡¡¡Validación fallida!!! Error %productoEtiqueta Dirección IP del Servidor","Erro na validação!!! Endereço IP do Servidor %productLable Errado"
"Validation unsuccessful !!! Wrong NTP Server IP Address","¡¡¡Validación fallida!!! Error en Dirección IP del Servidor NTP","Erro na validação!!! Endereço IP do Servidor NTP Errado"
"Validation unsuccessful !!! Timezone not selected","¡¡¡Validación fallida!!! No se ha selecciona huso horario","Erro na validação!!! Fuso horário não selecionado"
,,
"%productLable_SETUP_MACHINE_SERVER_IP","%productLable_SETUP_MACHINE_SERVER_IP","%productLable_SETUP_MACHINE_SERVER_IP"
"%productLable_SETUP_MACHINE_SERVER_PORT","%productLable_SETUP_MACHINE_SERVER_PORT","%productLable_SETUP_MACHINE_SERVER_PORT"
"%productLable_SETUP_MACHINE_KEEP_ALIVE""
""STR_NVRAM_VLT_SETUP_MACHINE_RECONNECTION_TIME""","%productLable_NTP_SERVER_IP
 ""STR_NVRAM_VLT_NTP_TZ_ZONE_ID""","%productLable_SETUP_MACHINE_KEEP_ALIVE""
""STR_NVRAM_VLT_SETUP_MACHINE_RECONNECTION_TIME"""
"%productLable_VOUCHER_IN","%productLable_VOUCHER_IN","%productLable_VOUCHER_IN"
"%productLable_VOUCHER_OUT","%productLable_VOUCHER_OUT","%productLable_VOUCHER_OUT"
"%productLable_VOUCHER_DATE_FORMAT","%productLable_VOUCHER_DATE_FORMAT","%productLable_VOUCHER_DATE_FORMAT"
"%productLable_PRINTER_ENCODING","%productLable_PRINTER_ENCODING","%productLable_PRINTER_ENCODING"
"%productLable_VOUCHER_FORMAT_LANGUAGE","%productLable_VOUCHER_FORMAT_LANGUAGE","%productLable_VOUCHER_FORMAT_LANGUAGE"
"Loading %productLable Manager","Loading %productLable Manager","Carregando Gerenciador de %productLable"
,,
"Voucher in:","Introducir vale:","Entrada de cupom:"
"Voucher out:","Sacar vale:","Saída de cupom:"
"Voucher Date Format:","Formato de Fecha de Vale:","Formato da Data do Cupom:"
"Voucher Split Limit:","Límite de División de Vale:","Limite de Divisão do Cupom:"
"Printer Encoding:","Codificación de Impresora:","Codificação da Impressora:"
"Voucher Language:","Idioma del Vale:","Idioma do Cupom:"
"Latin1 (ISO/IEC 8859-1)","Latín1 (ISO/IEC 8859-1)","Latim1 (ISO/IEC 8859-1)"
"Latin2 (ISO/IEC 8859-2)","Latín2 (ISO/IEC 8859-2)","Latim2 (ISO/IEC 8859-2)"
"Cyrillic (ISO/IEC 8859-5)","Cirílico (ISO/IEC 8859-5)","Cirílico (ISO/IEC 8859-5)"
"Printer","Impresora","Impressora"
,,
"Interface","Interface","Interface"
"Mac","Mac","MAC"
"Ip","Ip","IP"
"Bcast","Bcast","Bcast"
"Mask","Mask","Máscara"
"Status","Status","Situação"
,,
"Lifetime Accounting","Contabilidad de Ciclo de Vida","Contabilidade Desde o Início"
"Invalid %1 value!!!","Valor %1 inválido!!!","Valor %1 inválido!!!"
"Invalid chip %1 value!!!","¡¡¡Valor de ficha %1 inválido!!!","Valor inválido do chip %1!!!"
,,
"SET ALL PAGES","AJUSTAR TODAS LAS PÁGINAS","DEFINIR TODAS AS PÁGINAS"
"SET ALL PAGES SKIP JP","AJUSTAR TODAS LAS PÁGINAS SALTAR JP","DEFINIR TODAS AS PÁGINAS PARA PULAR JACKPOT"
"SET ALL PAGES MATH","AJUSTAR TODAS LAS PÁGINAS MATEMÁTICA","DEFINIR TODAS AS PÁGINAS COM MATEMÁTICA"
"SET ALL","AJUSTAR TODAS","DEFINIR TODOS"
"SET SAS ENHANCED VALID","AJUSTAR SAS AUMENTAR VALIDEZ","DEFINIR SAS APRIMORADO VÁLIDO"
"SET DISABLE SAS COM","AJUSTAR DESACTIVAR SAS COM","DEFINIR SAS COM DESABILITADO"
,,
"Update Method:","Método de Actualización:","Método de Atualização:"
"Product to download:","Producto a descargar:","Produto para download:"
"Software version to download:","Versión de software a descargar:","Versão do software para download:"
"Software version available for update: %1","Versión de software disponible para actualizar: %1","Versão do software disponível para atualização: %1"
"Start Downloading","Iniciar Descarga","Começar Download"
"Are you sure you want to download this software version?","¿Está seguro de querer descargar esta versión de software?","Deseja mesmo fazer o download desta versão do software?"
"This may take a while. Please do not shut down!","Esto puede demorar un rato. ¡Favor no apagar!","Isso pode demorar um pouco. Por favor, não desligue a máquina!"
"Any downloaded version will be overwritten.","Toda versión ya descargada será reemplazada.","Qualquer versão baixada será substituída."
"Update Ready!","¡Actualización Lista!","Atualização Pronta!"
"To apply the update:","Para aplicar la actualización:","Para aplicar a atualização:"
